date,value
Jan-70,5.8
Feb-70,6.3
Mar-70,7.15
Apr-70,8.6
May-70,9.1
Jun-70,8.7
Jul-70,7.4
Aug-70,6.8
Sep-70,6.35
Oct-70,6.4
Nov-70,6.2
Dec-70,6.5
Jan-71,6.6
Feb-71,7.6
Mar-71,8
Apr-71,7.8
May-71,7.8
Jun-71,8.15
Jul-71,6.8
Aug-71,6.7
Sep-71,6.45
Oct-71,6.3
Nov-71,6
Dec-71,5.9
Jan-72,5.6
Feb-72,5.5
Mar-72,5.5
Apr-72,5.5
May-72,5.6
Jun-72,5.75
Jul-72,4.6
Aug-72,4.6
Sep-72,4.5
Oct-72,4.3
Nov-72,5.1
Dec-72,4.45
Jan-73,4.7
Feb-73,4.8
Mar-73,5.45
Apr-73,5.8
May-73,6.4
Jun-73,6.4
Jul-73,6.5
Aug-73,6.4
Sep-73,9.25
Oct-73,9.65
Nov-73,9.2
Dec-73,9.25
Jan-74,9.25
Feb-74,9.5
Mar-74,10.1
Apr-74,16.25
May-74,21.75
Jun-74,18.8
Jul-74,15
Aug-74,14.2
Sep-74,12.6
Oct-74,10.4
Nov-74,10.3
Dec-74,9.75
Jan-75,8.95
Feb-75,9
Mar-75,8.75
Apr-75,9.8
May-75,8.9
Jun-75,8.8
Jul-75,8.15
Aug-75,8.15
Sep-75,8.1
Oct-75,7.95
Nov-75,8.05
Dec-75,7.7
Jan-76,7.65
Feb-76,8.35
Mar-76,8.4
Apr-76,9.61
May-76,10.24
Jun-76,10.27
Jul-76,9.67
Aug-76,9.36
Sep-76,9.31
Oct-76,9.06
Nov-76,9.52
Dec-76,9.44
Jan-77,8.93
Feb-77,9.31
Mar-77,9.73
Apr-77,10.86
May-77,10.94
Jun-77,10.95
Jul-77,10.72
Aug-77,10.9
Sep-77,10.43
Oct-77,10.02
Nov-77,10.01
Dec-77,9.75
Jan-78,9.49
Feb-78,9.55
Mar-78,10.04
Apr-78,10.86
May-78,10.6
Jun-78,10.63
Jul-78,9.84
Aug-78,9.7
Sep-78,9.72
Oct-78,9.74
Nov-78,9.19
Dec-78,8.76
Jan-79,8.51
Feb-79,8.6
Mar-79,9.16
Apr-79,10.42
May-79,10.54
Jun-79,10.26
Jul-79,9.86
Aug-79,9.78
Sep-79,9.87
Oct-79,10.04
Nov-79,10.12
Dec-79,10.12
Jan-80,10.03
Feb-80,10.06
Mar-80,11.47
Apr-80,13.28
May-80,13.83
Jun-80,13.83
Jul-80,12.87
Aug-80,12.33
Sep-80,11.69
Oct-80,11.22
Nov-80,11.27
Dec-80,12.45
Jan-81,12.61
Feb-81,13.36
Mar-81,14.63
Apr-81,16.69
May-81,16.28
Jun-81,15.58
Jul-81,15.39
Aug-81,15.72
Sep-81,15.35
Oct-81,14.69
Nov-81,14.62
Dec-81,15.54
Jan-82,16.21
Feb-82,17.12
Mar-82,18.89
Apr-82,21.39
May-82,18.45
Jun-82,18.57
Jul-82,17.29
Aug-82,17.17
Sep-82,15.46
Oct-82,14.57
Nov-82,14.76
Dec-82,12.13
Jan-83,10.65
Feb-83,13.77
Mar-83,15.26
Apr-83,13.92
May-83,12.15
Jun-83,14.24
Jul-83,12.8
Aug-83,12.16
Sep-83,11.06
Oct-83,10.94
Nov-83,10.55
Dec-83,8.89
Jan-84,9.76
Feb-84,12.04
Mar-84,13.77
Apr-84,13.88
May-84,13.78
Jun-84,12.81
Jul-84,12.3
Aug-84,11.56
Sep-84,10.53
Oct-84,11.17
Nov-84,11.26
Dec-84,12.34
Jan-85,13.35
Feb-85,13.81
Mar-85,15.29
Apr-85,15.79
May-85,15.53
Jun-85,15.75
Jul-85,15.14
Aug-85,16.25
Sep-85,16.78
Oct-85,16.36
Nov-85,18.18
Dec-85,19.56
Jan-86,18.97
Feb-86,18.29
Mar-86,16.44
Apr-86,15.76
May-86,14.73
Jun-86,14.68
Jul-86,14.85
Aug-86,17.37
Sep-86,18.08
Oct-86,16.82
Nov-86,15.9
Dec-86,15.53
Jan-87,15.86
Feb-87,16.7
Mar-87,16.41
Apr-87,15.08
May-87,14.14
Jun-87,13.68
Jul-87,12.99
Aug-87,12.54
Sep-87,11.7
Oct-87,11.99
Nov-87,12.45
Dec-87,11.46
Jan-88,11.05
Feb-88,10.95
Mar-88,10.95
Apr-88,11.39
May-88,12.28
Jun-88,13.1
Jul-88,13.08
Aug-88,13.32
Sep-88,13.64
Oct-88,14
Nov-88,14.73
Dec-88,15.11
Jan-89,15.56
Feb-89,16.54
Mar-89,17.25
Apr-89,17.46
May-89,17.52
Jun-89,18.37
Jul-89,18.06
Aug-89,17.96
Sep-89,18.12
Oct-89,18.36
Nov-89,18.25
Dec-89,17.89
Jan-90,17.33
Feb-90,16.2
Mar-90,15.84
Apr-90,15.14
May-90,15.05
Jun-90,15.02
Jul-90,14.83
Aug-90,13.92
Sep-90,13.52
Oct-90,13.07
Nov-90,12.41
Dec-90,12.19
Jan-91,11.93
Feb-91,11.62
Mar-91,11.49
Apr-91,11.36
May-91,10.72
Jun-91,10.39
Jul-91,10.34
Aug-91,10.13
Sep-91,9.58
Oct-91,8.97
Nov-91,8.34
Dec-91,7.84
Jan-92,7.45
Feb-92,7.52
Mar-92,7.51
Apr-92,7.18
May-92,6.56
Jun-92,6.42
Jul-92,5.64
Aug-92,5.73
Sep-92,5.94
Oct-92,5.86
Nov-92,5.88
Dec-92,5.9
Jan-93,5.88
Feb-93,5.82
Mar-93,5.38
Apr-93,5.27
May-93,5.15
Jun-93,5.22
Jul-93,5.05
Aug-93,4.78
Sep-93,4.86
Oct-93,4.81
Nov-93,4.78
Dec-93,4.82
Jan-94,4.81
Feb-94,4.8
Mar-94,4.88
Apr-94,4.92
May-94,4.85
Jun-94,5.12
Jul-94,5.41
Aug-94,5.6
Sep-94,5.93
Oct-94,6.45
Nov-94,7.16
Dec-94,7.95
Jan-95,8.37
Feb-95,8.08
Mar-95,8.13
Apr-95,7.89
May-95,7.7
Jun-95,7.55
Jul-95,7.56
Aug-95,7.58
Sep-95,7.49
Oct-95,7.47
Nov-95,7.46
Dec-95,7.43
Jan-96,7.46
Feb-96,7.47
Mar-96,7.53
Apr-96,7.57
May-96,7.55
Jun-96,7.57
Jul-96,7.56
Aug-96,6.92
Sep-96,6.91
Oct-96,6.7
Nov-96,6.45
Dec-96,6.13
Jan-97,5.82
Feb-97,5.91
Mar-97,6.05
Apr-97,6.04
May-97,5.87
Jun-97,5.35
Jul-97,5.19
Aug-97,4.9
Sep-97,4.77
Oct-97,4.83
Nov-97,4.95
Dec-97,5.07
Jan-98,4.99
Feb-98,4.97
Mar-98,4.96
Apr-98,4.92
May-98,4.96
Jun-98,5.32
Jul-98,5.17
Aug-98,5.19
Sep-98,5.03
Oct-98,4.83
Nov-98,4.88
