date,value
Sep-59,66989
Dec-59,67585
Mar-60,67914
Jun-60,69788
Sep-60,69951
Dec-60,69818
Mar-61,70021
Jun-61,69246
Sep-61,68757
Dec-61,69545
Mar-62,71491
Jun-62,72856
Sep-62,73451
Dec-62,74776
Mar-63,76496
Jun-63,75496
Sep-63,78603
Dec-63,80291
Mar-64,80155
Jun-64,82125
Sep-64,82643
Dec-64,84995
Mar-65,85704
Jun-65,87040
Sep-65,86791
Dec-65,87007
Mar-66,86750
Jun-66,87932
Sep-66,90425
Dec-66,91025
Mar-67,94572
Jun-67,94429
Sep-67,96209
Dec-67,97052
Mar-68,96183
Jun-68,99878
Sep-68,101205
Dec-68,104984
Mar-69,104252
Jun-69,106309
Sep-69,108078
Dec-69,110575
Mar-70,112871
Jun-70,115132
Sep-70,114895
Dec-70,115449
Mar-71,116843
Jun-71,117339
Sep-71,121028
Dec-71,120645
Mar-72,119178
Jun-72,121840
Sep-72,121228
Dec-72,122519
Mar-73,125678
Jun-73,125911
Sep-73,127186
Dec-73,130368
Mar-74,130386
Jun-74,127736
Sep-74,129264
Dec-74,129401
Mar-75,129905
Jun-75,133998
Sep-75,132535
Dec-75,130544
Mar-76,136302
Jun-76,136717
Sep-76,137828
Dec-76,139040
Mar-77,138275
Jun-77,140226
Sep-77,139631
Dec-77,139201
Mar-78,140176
Jun-78,141321
Sep-78,143473
Dec-78,144678
Mar-79,148632
Jun-79,146240
Sep-79,147603
Dec-79,150469
Mar-80,151130
Jun-80,151518
Sep-80,152321
Dec-80,154964
Mar-81,155547
Jun-81,157951
Sep-81,161127
Dec-81,160501
Mar-82,159179
Jun-82,160614
Sep-82,159534
Dec-82,157026
Mar-83,155440
Jun-83,155154
Sep-83,159480
Dec-83,162156
Mar-84,166224
Jun-84,168090
Sep-84,169516
Dec-84,170706
Mar-85,173175
Jun-85,177005
Sep-85,179397
Dec-85,178956
Mar-86,180099
Jun-86,179779
Sep-86,180286
Dec-86,183275
Mar-87,185026
Jun-87,187936
Sep-87,191344
Dec-87,195226
Mar-88,196055
Jun-88,196196
Sep-88,197798
Dec-88,200926
Mar-89,202965
Jun-89,207246
Sep-89,208991
Dec-89,208427
Mar-90,210082
Jun-90,210347
Sep-90,209146
Dec-90,210386
Mar-91,207669
Jun-91,207328
Sep-91,208230
Dec-91,208357
Mar-92,209948
Jun-92,211452
Sep-92,213542
Dec-92,217962
Mar-93,219508
Jun-93,220789
Sep-93,221060
Dec-93,225120
Mar-94,228797
Jun-94,231539
Sep-94,233325
Dec-94,235763
Mar-95,235857
Jun-95,236805
Sep-95,242148
Dec-95,242085
Mar-96,246064
Jun-96,247753
Sep-96,249672
Dec-96,251978
Mar-97,253543
Jun-97,261081
Sep-97,261450
Dec-97,265231
Mar-98,267017
Jun-98,269467
Sep-98,274557
Dec-98,278680
Mar-99,280753
Jun-99,281660
Sep-99,284916
Dec-99,289774
Mar-00,290941
Jun-00,293669
Sep-00,294398
Dec-00,293351
Mar-01,296385
Jun-01,298796
Sep-01,302371
Dec-01,306034
Mar-02,308370
Jun-02,313643
Sep-02,314598
Dec-02,317160
Mar-03,317802
Jun-03,319128
Sep-03,324677
Dec-03,329989
Mar-04,332582
Jun-04,334795
Sep-04,337391
Dec-04,339904
Mar-05,342508
Jun-05,344019
Sep-05,347901
Dec-05,350518
Mar-06,350930
Jun-06,351665
Sep-06,356952
Dec-06,361491
Mar-07,366514
Jun-07,368852
Sep-07,373120
Dec-07,374569
Mar-08,378448
Jun-08,379675
Sep-08,382397
Dec-08,380530
Mar-09,384006
Jun-09,386991
Sep-09,388138
Dec-09,390994
Mar-10,392717
Jun-10,395397
Sep-10,398182
Dec-10,401631
Mar-11,400452
Jun-11,405688
Sep-11,411165
Dec-11,415531
Mar-12,419514
Jun-12,422654
Sep-12,425177
Dec-12,427159
Mar-13,429043
Jun-13,430879
Sep-13,434281
Dec-13,437689
Mar-14,441077
Jun-14,443096
Sep-14,445237
Dec-14,446756
Mar-15,450904
Jun-15,451392
Sep-15,456138
Dec-15,458753
Mar-16,462765
Jun-16,465827
Sep-16,466470
Dec-16,471212
Mar-17,472375
Jun-17,475750
Sep-17,480328
Dec-17,482201
Mar-18,486402
Jun-18,491017
Sep-18,492928
Dec-18,493225
Mar-19,495501
Jun-19,499288
Sep-19,503153
Dec-19,504813
Mar-20,503542
Jun-20,469358
Sep-20,485304
Dec-20,500907
Mar-21,510212
Jun-21,514273
Sep-21,504638
Dec-21,521931
