date,value
Jan-70,888
Feb-70,893
Mar-70,898
Apr-70,897
May-70,907
Jun-70,906
Jul-70,907
Aug-70,916
Sep-70,923
Oct-70,944
Nov-70,946
Dec-70,949
Jan-71,959
Feb-71,964
Mar-71,970
Apr-71,985
May-71,993
Jun-71,998
Jul-71,1003
Aug-71,1007
Sep-71,1011
Oct-71,1014
Nov-71,1015
Dec-71,1016
Jan-72,1012
Feb-72,1048
Mar-72,1048
Apr-72,1043
May-72,1060
Jun-72,1064
Jul-72,1078
Aug-72,1085
Sep-72,1099
Oct-72,1113
Nov-72,1121
Dec-72,1135
Jan-73,1143
Feb-73,1157
Mar-73,1173
Apr-73,1193
May-73,1210
Jun-73,1238
Jul-73,1254
Aug-73,1281
Sep-73,1305
Oct-73,1324
Nov-73,1348
Dec-73,1366
Jan-74,1410
Feb-74,1418
Mar-74,1425
Apr-74,1453
May-74,1470
Jun-74,1503
Jul-74,1525
Aug-74,1545
Sep-74,1557
Oct-74,1570
Nov-74,1563
Dec-74,1604
Jan-75,1628
Feb-75,1650
Mar-75,1672
Apr-75,1707
May-75,1703
Jun-75,1738
Jul-75,1767
Aug-75,1779
Sep-75,1808
Oct-75,1841
Nov-75,1867
Dec-75,1904
Jan-76,2027
Feb-76,2037
Mar-76,2090
Apr-76,2017
May-76,2038
Jun-76,2059
Jul-76,2095
Aug-76,2122
Sep-76,2131
Oct-76,2139
Nov-76,2176
Dec-76,2178
Jan-77,2195
Feb-77,2210
Mar-77,2223
Apr-77,2231
May-77,2300
Jun-77,2310
Jul-77,2299
Aug-77,2332
Sep-77,2346
Oct-77,2406
Nov-77,2385
Dec-77,2398
Jan-78,2360
Feb-78,2442
Mar-78,2429
Apr-78,2529
May-78,2543
Jun-78,2549
Jul-78,2566
Aug-78,2587
Sep-78,2632
Oct-78,2636
Nov-78,2650
Dec-78,2690
Jan-79,2675
Feb-79,2715
Mar-79,2735
Apr-79,2758
May-79,2760
Jun-79,2769
Jul-79,2826
Aug-79,2896
Sep-79,2837
Oct-79,2876
Nov-79,2925
Dec-79,2938
Jan-80,3000
Feb-80,3005
Mar-80,3077
Apr-80,3066
May-80,3134
Jun-80,3191
Jul-80,3217
