date,value
Sep-59,1781
Dec-59,1821
Mar-60,1897
Jun-60,1956
Sep-60,2008
Dec-60,2040
Mar-61,2021
Jun-61,2023
Sep-61,2047
Dec-61,2058
Mar-62,2117
Jun-62,2164
Sep-62,2151
Dec-62,2174
Mar-63,2248
Jun-63,2274
Sep-63,2336
Dec-63,2424
Mar-64,2426
Jun-64,2506
Sep-64,2591
Dec-64,2716
Mar-65,2754
Jun-65,2832
Sep-65,2899
Dec-65,2907
Mar-66,3011
Jun-66,3047
Sep-66,3128
Dec-66,3195
Mar-67,3276
Jun-67,3366
Sep-67,3451
Dec-67,3491
Mar-68,3545
Jun-68,3685
Sep-68,3700
Dec-68,3910
Mar-69,4001
Jun-69,4101
Sep-69,4224
Dec-69,4342
Mar-70,4513
Jun-70,4632
Sep-70,4728
Dec-70,4960
Mar-71,5247
Jun-71,5386
Sep-71,5517
Dec-71,5579
Mar-72,5742
Jun-72,5913
Sep-72,6032
Dec-72,6216
Mar-73,6454
Jun-73,6840
Sep-73,7148
Dec-73,7516
Mar-74,7999
Jun-74,8480
Sep-74,9529
Dec-74,10005
Mar-75,10314
Jun-75,10488
Sep-75,10928
Dec-75,11395
Mar-76,11779
Jun-76,12301
Sep-76,12678
Dec-76,12978
Mar-77,13300
Jun-77,13757
Sep-77,13880
Dec-77,14252
Mar-78,14698
Jun-78,14797
Sep-78,15073
Dec-78,15173
Mar-79,15901
Jun-79,15951
Sep-79,16462
Dec-79,16996
Mar-80,17487
Jun-80,18081
Sep-80,18780
Dec-80,19590
Mar-81,20283
Jun-81,21177
Sep-81,21667
Dec-81,22384
Mar-82,23587
Jun-82,24528
Sep-82,25652
Dec-82,25746
Mar-83,25745
Jun-83,25158
Sep-83,25907
Dec-83,26590
Mar-84,27470
Jun-84,28475
Sep-84,29153
Dec-84,29608
Mar-85,29880
Jun-85,30711
Sep-85,31331
Dec-85,32360
Mar-86,33526
Jun-86,33888
Sep-86,34792
Dec-86,35242
Mar-87,35782
Jun-87,36751
Sep-87,37966
Dec-87,38673
Mar-88,39420
Jun-88,40598
Sep-88,41129
Dec-88,43159
Mar-89,44667
Jun-89,46064
Sep-89,47393
Dec-89,48313
Mar-90,49765
Jun-90,51015
Sep-90,51556
Dec-90,51275
Mar-91,51070
Jun-91,50719
Sep-91,50962
Dec-91,51722
Mar-92,51863
Jun-92,52524
Sep-92,53394
Dec-92,53819
Mar-93,53987
Jun-93,54710
Sep-93,54534
Dec-93,55167
Mar-94,56870
Jun-94,58334
Sep-94,57981
Dec-94,58939
Mar-95,60484
Jun-95,61074
Sep-95,62544
Dec-95,63989
Mar-96,64539
Jun-96,65583
Sep-96,67047
Dec-96,68145
Mar-97,68529
Jun-97,70334
Sep-97,70208
Dec-97,70953
Mar-98,71703
Jun-98,72838
Sep-98,75005
Dec-98,75461
Mar-99,76093
Jun-99,77368
Sep-99,77649
Dec-99,79829
Mar-00,81186
Jun-00,82104
Sep-00,83646
Dec-00,84736
Mar-01,86358
Jun-01,87559
Sep-01,88508
Dec-01,89536
Mar-02,90748
Jun-02,92153
Sep-02,93885
Dec-02,94700
Mar-03,96368
Jun-03,98288
Sep-03,99462
Dec-03,101298
Mar-04,103450
Jun-04,105029
Sep-04,107089
Dec-04,109448
Mar-05,111340
Jun-05,112697
Sep-05,115301
Dec-05,116844
Mar-06,119206
Jun-06,120985
Sep-06,123273
Dec-06,127815
Mar-07,130865
Jun-07,134400
Sep-07,136553
Dec-07,138738
Mar-08,141552
Jun-08,145392
Sep-08,146272
Dec-08,146668
Mar-09,146141
Jun-09,145837
Sep-09,147870
Dec-09,150271
Mar-10,153082
Jun-10,157329
Sep-10,160828
Dec-10,164354
Mar-11,167689
Jun-11,170668
Sep-11,173504
Dec-11,175301
Mar-12,179369
Jun-12,180796
Sep-12,180426
Dec-12,182876
Mar-13,183878
Jun-13,185429
Sep-13,186673
Dec-13,189195
Mar-14,190587
Jun-14,192119
Sep-14,193580
Dec-14,194599
Mar-15,195182
Jun-15,197148
Sep-15,199005
Dec-15,200574
Mar-16,202536
Jun-16,203113
Sep-16,205229
Dec-16,204716
Mar-17,206855
Jun-17,209588
Sep-17,212443
Dec-17,215620
Mar-18,218352
Jun-18,220390
Sep-18,223499
Dec-18,225880
Mar-19,229606
Jun-19,232975
Sep-19,235588
Dec-19,237819
Mar-20,239452
Jun-20,234790
Sep-20,239709
Dec-20,242828
Mar-21,246628
Jun-21,249586
Sep-21,250678
Dec-21,255728
